"","self.time.r38824ae","self.time.rf09bcd7","self.time.r4ea4356","self.time.rab3e84e","self.time.r5c98a1f","self.pct.r38824ae","self.pct.rf09bcd7","self.pct.r4ea4356","self.pct.rab3e84e","self.pct.r5c98a1f","total.time.r38824ae","total.time.rf09bcd7","total.time.r4ea4356","total.time.rab3e84e","total.time.r5c98a1f","total.pct.r38824ae","total.pct.rf09bcd7","total.pct.r4ea4356","total.pct.rab3e84e","total.pct.r5c98a1f","mem.total.r38824ae","mem.total.rf09bcd7","mem.total.r4ea4356","mem.total.rab3e84e","mem.total.r5c98a1f","samples.r38824ae","samples.rf09bcd7","samples.r4ea4356","samples.rab3e84e","samples.r5c98a1f"
"GrahamDB-selac-4ea4356/R/selac.R#3577#""<GC>"".ecoliFASTHMMTEST_selac_UNREST_none",0.470588235294118,0.85,0.9125,0,0,1.81823529411765,2.40166666666667,0.584166666666667,0,0,0.470588235294118,0.85,0.9125,0,0,1.81823529411765,2.40166666666667,0.584166666666667,0,0,249.617647058824,526.7,202.983333333333,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3780#""%*%"".ecoliFASTHMMTEST_selac_UNREST_none",0.00294117647058824,0,0,0,0,0.0105882352941176,0,0,0,0,0.0911764705882353,0,0,0,0,0.331764705882353,0,0,0,0,16.1411764705882,0,0,0,0,17,6,12,18,12
""".nextMethod"".ecoliFASTHMMTEST_selac_UNREST_none",0.05,0.075,0,0,0,0.187647058823529,0.208333333333333,0,0,0,0.341176470588235,0.65,0,0,0,1.29882352941176,1.81166666666667,0,0,0,57.0176470588235,89.9,0,0,0,17,6,12,18,12
"""validObject"".ecoliFASTHMMTEST_selac_UNREST_none",0.0558823529411765,0.125,0,0,0,0.214705882352941,0.348333333333333,0,0,0,0.420588235294118,0.566666666666667,0,0,0,1.63058823529412,1.6,0,0,0,70.7647058823529,85.2,0,0,0,17,6,12,18,12
"GrahamDB-selac-4ea4356/R/selac.R#3632#""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",0.135294117647059,0.266666666666667,0.341666666666667,0,0,0.517647058823529,0.746666666666667,0.215833333333333,0,0,0.194117647058824,0.45,0.495833333333333,0,0,0.743529411764706,1.27,0.318333333333333,0,0,36.0823529411765,126.75,124.466666666667,0,0,17,6,12,18,12
"""as"".ecoliFASTHMMTEST_selac_UNREST_none",0.0235294117647059,0.05,0,0,0,0.0923529411764706,0.14,0,0,0,0.102941176470588,0.283333333333333,0,0,0,0.421764705882353,0.79,0,0,0,27.1411764705882,59.25,0,0,0,17,6,12,18,12
""".classEnv"".ecoliFASTHMMTEST_selac_UNREST_none",0.0735294117647059,0.133333333333333,0,0,0,0.272352941176471,0.381666666666667,0,0,0,0.247058823529412,0.5,0,0,0,0.911764705882353,1.42333333333333,0,0,0,43.0294117647059,82.7833333333333,0,0,0,17,6,12,18,12
"""getClassDef"".ecoliFASTHMMTEST_selac_UNREST_none",0.0970588235294118,0.0916666666666667,0,0.00277777777777778,0,0.39,0.26,0,0.00222222222222222,0,0.238235294117647,0.266666666666667,0,0.00277777777777778,0,0.942941176470588,0.761666666666667,0,0.00222222222222222,0,33.4235294117647,42.6166666666667,0,0.927777777777778,0,17,6,12,18,12
"""rowSums"".ecoliFASTHMMTEST_selac_UNREST_none",0.00882352941176471,0,0,0,0,0.0347058823529412,0,0,0,0,0.0411764705882353,0,0,0,0,0.161764705882353,0,0,0,0,3.85294117647059,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-819329e/R/selac.R#3524#""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_none",0.00294117647058824,0,0,0,0,0.0117647058823529,0,0,0,0,0.00882352941176471,0,0,0,0,0.0352941176470588,0,0,0,0,1.38823529411765,0,0,0,0,17,6,12,18,12
"""as.vector"".ecoliFASTHMMTEST_selac_UNREST_none",0.252941176470588,0.425,0,0,0,0.962941176470588,1.19666666666667,0,0,0,0.252941176470588,0.425,0,0,0,0.962941176470588,1.19666666666667,0,0,0,36.6411764705882,86.6166666666667,0,0,0,17,6,12,18,12
"""anyStrings"".ecoliFASTHMMTEST_selac_UNREST_none",0.0117647058823529,0,0,0,0,0.0470588235294118,0,0,0,0,0.05,0,0,0,0,0.205294117647059,0,0,0,0,9.53529411764706,0,0,0,0,17,6,12,18,12
"""is"".ecoliFASTHMMTEST_selac_UNREST_none",0.105882352941176,0.125,0,0,0,0.407647058823529,0.35,0,0,0,0.211764705882353,0.3,0,0,0,0.818235294117647,0.84,0,0,0,37.5647058823529,39.2833333333333,0,0,0,17,6,12,18,12
"""callGeneric"".ecoliFASTHMMTEST_selac_UNREST_none",0.0235294117647059,0.0583333333333333,0,0,0,0.0870588235294118,0.165,0,0,0,0.0852941176470588,0.441666666666667,0,0,0,0.314705882352941,1.25333333333333,0,0,0,14.0176470588235,89.1833333333333,0,0,0,17,6,12,18,12
"""Matrix::norm"".ecoliFASTHMMTEST_selac_UNREST_none",0.00588235294117647,0.00833333333333333,0,0,0,0.0229411764705882,0.0233333333333333,0,0,0,0.0235294117647059,0.0416666666666667,0,0,0,0.0923529411764706,0.115,0,0,0,2.51176470588235,0.916666666666667,0,0,0,17,6,12,18,12
"""validityMethod"".ecoliFASTHMMTEST_selac_UNREST_none",0.0147058823529412,0.00833333333333333,0,0,0,0.0576470588235294,0.0233333333333333,0,0,0,0.0617647058823529,0.0416666666666667,0,0,0,0.242352941176471,0.115,0,0,0,10.7411764705882,4.75,0,0,0,17,6,12,18,12
"""getClass"".ecoliFASTHMMTEST_selac_UNREST_none",0.05,0.0333333333333333,0,0,0,0.185294117647059,0.0933333333333333,0,0,0,0.123529411764706,0.0833333333333333,0,0,0,0.46,0.23,0,0,0,26.4823529411765,18.6666666666667,0,0,0,17,6,12,18,12
"""<GC>"".ecoliFASTHMMTEST_selac_UNREST_none",0.344117647058824,0.441666666666667,0.2875,0.341666666666667,0.204166666666667,1.32176470588235,1.25,0.185,0.221111111111111,0.129166666666667,0.344117647058824,0.441666666666667,0.2875,0.341666666666667,0.204166666666667,1.32176470588235,1.25,0.185,0.221111111111111,0.129166666666667,171.535294117647,252.066666666667,107,106.038888888889,85.75,17,6,12,18,12
""".requirePackage"".ecoliFASTHMMTEST_selac_UNREST_none",0.15,0.208333333333333,0,0,0,0.570588235294118,0.593333333333333,0,0,0,0.197058823529412,0.308333333333333,0,0,0,0.744705882352941,0.876666666666667,0,0,0,28.3058823529412,40.4166666666667,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3782#""sum"".ecoliFASTHMMTEST_selac_UNREST_none",0.308823529411765,0,0,0,0,1.17882352941176,0,0,0,0,0.308823529411765,0,0,0,0,1.17882352941176,0,0,0,0,67.1764705882353,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a88b49/R/selac.R#3809#""internal_expm"".ecoliFASTHMMTEST_selac_UNREST_none",0.0411764705882353,0,0,0,0,0.155294117647059,0,0,0,0,0.144117647058824,0,0,0,0,0.542352941176471,0,0,0,0,36.3647058823529,0,0,0,0,17,6,12,18,12
""".local"".ecoliFASTHMMTEST_selac_UNREST_none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"<expr>#1042#""lSAC.c4mc.full"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,12,18,12
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliFASTHMMTEST_selac_UNREST_median",0,0.0333333333333333,0.129166666666667,0.108333333333333,0,0,0.0266666666666667,0.0225,0.0211111111111111,0,0,63.5583333333333,474.7375,538.286111111111,0,0,49.3883333333333,83.145,94.235,0,0,10958.2166666667,109753.233333333,124919.261111111,0,17,6,12,18,12
"""FUN"".ecoliFASTHMMTEST_selac_UNREST_median",0.0235294117647059,0.00833333333333333,0,0,0.05,0.0241176470588235,0.00666666666666667,0,0,0.00833333333333333,33.7058823529412,21.4666666666667,0,0,379.85,34.7264705882353,16.4816666666667,0,0,58.2116666666667,8647.35294117647,3850.36666666667,0,0,1514.15833333333,17,6,12,18,12
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliFASTHMMTEST_selac_UNREST_median",0,0,0,0,0.179166666666667,0,0,0,0,0.0283333333333333,0,0,0,0,649.870833333333,0,0,0,0,99.7875,0,0,0,0,2590.1,17,6,12,18,12
