"","rab3e84e.self.time","r5c98a1f.self.time","rab3e84e.self.pct","r5c98a1f.self.pct","rab3e84e.total.time","r5c98a1f.total.time","rab3e84e.total.pct","r5c98a1f.total.pct","rab3e84e.mem.total","r5c98a1f.mem.total"
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_median",22.275,,0.901666666666667,,22.2833333333333,,0.901666666666667,,5067.33333333333,
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.05,,0,,2883.8,,100,,12294.8
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_quadrature",0.05,0.0857142857142857,0,0,2716.2625,2845.48571428571,99.97,99.97,628334.375,11248.8
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.05,,0,,2865.95,,100,,11487.9
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,
"""lapply"".ecoliHMMEVAL50_selac_UNREST_quadrature",0.05,0.095,0,0.002,0.1,2915.665,0,99.956,3.8,11210.39
"""FUN"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.233333333333333,,0.0075,,2909.47083333333,,99.9541666666667,,11155.7166666667
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.666666666666667,,0.0216666666666667,,2909.40833333333,,99.9533333333333,,11150.6583333333
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_quadrature",0.05,0.05,0,0,2761.08333333333,2854.73888888889,100,100,638814.716666667,11390.5555555556
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.166666666666667,,0.005,,2908.24583333333,,99.9125,,11144.3416666667
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_quadrature",0.408333333333333,,0.015,,2759.83333333333,,99.9533333333333,,638367.666666667,
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_quadrature",,0.6375,,0.0216666666666667,,2894.87083333333,,99.445,,11012.6166666667
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_quadrature",,2886.62916666667,,99.1625,,2887.10833333333,,99.1783333333333,,10927.65
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_quadrature",11.7833333333333,,0.428333333333333,,2300.725,,83.3266666666667,,532767.116666667,
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_quadrature",2285.375,,82.7733333333333,,2286.19166666667,,82.805,,529451.216666667,
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_quadrature",136.85,,4.95666666666667,,1398.50833333333,,50.65,,322956.216666667,
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_quadrature",131.216666666667,,4.75,,1360.425,,49.275,,315194.366666667,
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_quadrature",,,,,,,,,,
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_quadrature",75.9833333333333,,2.75166666666667,,75.9916666666667,,2.75333333333333,,18388.4833333333,
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_quadrature",23.7583333333333,,0.861666666666667,,23.7583333333333,,0.861666666666667,,5270.26666666667,
"""tryCatchList"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.05,,0,,3125.7,,100,,12400.3
"GrahamDB-selac-e94b31e/R/selac.R#1444#""GetLikelihoodSAC_CodonForManyCharVaryingBySiteEvolvingAA"".ecoliHMMEVAL50_selac_UNREST_lognormal",0.075,0.0727272727272727,0,0.00181818181818182,3108.975,2920.9,99.97,99.9709090909091,717605.7,11359.9272727273
"""doTryCatch"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.05,,0,,2855.875,,100,,10919.25
"<expr>#760#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,
"""lapply"".ecoliHMMEVAL50_selac_UNREST_lognormal",0.0666666666666667,0.109090909090909,0,0.00272727272727273,0.0833333333333333,2903.61363636364,0,99.9536363636364,20,11191.8454545455
"""FUN"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.241666666666667,,0.00916666666666667,,2921.2875,,99.9541666666667,,11207.8583333333
"GrahamDB-selac-ca13013/R/selac.R#1111#""TreeTraversalODE"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.704166666666667,,0.0233333333333333,,2921.24583333333,,99.9533333333333,,11205.0083333333
"<expr>#1042#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",0.05,0.05,0,0,2963.175,2927.635,100,100,685092.4,11686.72
"GrahamDB-selac-ca13013/R/selac.R#3468#""ode"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.141666666666667,,0.005,,2919.9625,,99.9091666666667,,11198.8833333333
"GrahamDB-selac-2a6c393/R/selac.R#1212#""GetLikelihoodSAC_CodonForSingleCharGivenOptimumHMMScoring"".ecoliHMMEVAL50_selac_UNREST_lognormal",0.458333333333333,,0.015,,2961.89166666667,,99.9583333333333,,684616.266666667,
"deSolve/R/ode.R#22#""rk"".ecoliHMMEVAL50_selac_UNREST_lognormal",,0.575,,0.0191666666666667,,2895.23333333333,,99.05,,10974.625
"deSolve/R/rk.R#210#"".Call"".ecoliHMMEVAL50_selac_UNREST_lognormal",,2887.19166666667,,98.7733333333333,,2887.6,,98.7891666666667,,10894.2916666667
"expm/R/expm_vec.R#78#""as.vector"".ecoliHMMEVAL50_selac_UNREST_lognormal",13.425,,0.453333333333333,,2472.06666666667,,83.425,,571882.233333333,
"expm/R/expm_vec.R#78#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",2454.575,,82.8333333333333,,2455.475,,82.8633333333333,,568158.083333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1120#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",145.441666666667,,4.91,,1500.375,,50.6283333333333,,346285.733333333,
"GrahamDB-selac-86cc7e9/R/selac.R#1123#""expm::expAtv"".ecoliHMMEVAL50_selac_UNREST_lognormal",140.4,,4.74166666666667,,1460.68333333333,,49.3016666666667,,338116.5,
"<expr>#986#""lSAC.c4mc.full"".ecoliHMMEVAL50_selac_UNREST_lognormal",,,,,,,,,,
"expm/R/expm_vec.R#95#""%*%"".ecoliHMMEVAL50_selac_UNREST_lognormal",82.85,,2.795,,82.875,,2.79666666666667,,20159.3333333333,
"expm/R/expm_vec.R#80#""sum"".ecoliHMMEVAL50_selac_UNREST_lognormal",26.3,,0.886666666666667,,26.3,,0.886666666666667,,5857.36666666667,
